194.0,68.4,69.9,1.8,67.5,-1.0,0
195.0,68.4,69.9,2.5,67.6,-1.0,0
196.0,68.4,69.3,1.5,67.7,-0.7,0
197.0,68.4,69.3,1.0,67.7,-0.6,0
198.0,68.4,69.2,0.4,67.7,-0.4,0
199.0,68.4,69.8,1.2,67.6,-0.5,0
200.0,68.4,69.4,0.8,67.7,-0.3,0
201.0,68.5,69.3,0.4,67.8,-0.0,0
202.0,68.5,69.5,0.5,67.8,0.2,0
203.0,68.5,69.4,0.4,67.8,0.2,0
204.0,68.5,69.5,0.4,67.8,0.3,0
205.0,68.5,69.6,0.6,67.7,0.1,0
206.0,68.5,69.5,0.6,67.8,0.2,0
207.0,68.5,69.8,1.2,67.8,0.3,0
208.0,68.5,69.5,0.7,67.8,0.4,0
209.0,68.5,69.7,1.0,67.8,0.4,0
210.0,68.5,69.8,1.4,67.8,0.4,0
211.0,68.5,69.5,1.0,67.8,0.3,0
212.0,68.5,69.5,0.6,67.8,0.1,0
213.0,68.5,69.9,1.2,67.8,0.0,0
214.0,68.5,69.6,0.9,67.7,-0.2,0
215.0,68.5,69.6,0.7,67.7,-0.2,0
216.0,68.5,69.9,1.1,67.7,-0.3,0
217.0,68.5,69.6,0.8,67.7,-0.2,0
218.0,68.5,69.9,1.1,67.8,-0.2,0
219.0,68.5,69.9,1.4,67.8,-0.1,0
220.0,68.5,69.9,1.5,67.6,-0.4,0
221.0,68.5,69.6,0.9,67.7,-0.3,0
222.0,68.5,69.9,1.1,67.7,-0.3,0
223.0,68.5,69.6,0.5,67.7,-0.4,0
224.0,68.5,69.6,0.1,67.7,-0.4,0
225.0,68.5,69.9,0.5,67.7,-0.4,0
226.0,68.5,69.6,0.1,67.7,-0.2,0
227.0,68.5,69.9,0.5,67.7,-0.2,0
228.0,68.5,69.6,0.1,67.7,-0.1,0
229.0,68.5,69.8,0.3,67.7,-0.2,0
230.0,68.5,69.8,0.2,67.7,-0.2,0
231.0,68.5,69.5,-0.3,67.7,-0.1,0
232.0,68.5,69.6,-0.4,67.8,0.1,0
233.0,68.5,69.6,-0.5,67.7,-0.0,0
234.0,68.5,69.3,-1.1,67.7,0.1,0
235.0,68.5,69.6,-0.9,67.8,0.1,0
236.0,68.5,69.3,-1.3,67.8,0.3,0
237.0,68.5,69.6,-1.0,67.8,0.4,0
238.0,68.5,69.1,-1.8,67.8,0.5,0
239.0,68.5,69.5,-1.4,67.8,0.4,0
240.0,68.5,69.5,-1.1,67.8,0.5,0
241.0,68.5,69.3,-1.4,67.7,0.2,0
242.0,68.5,69.1,-1.8,67.8,0.3,0
243.0,68.5,69.5,-1.3,67.8,0.4,0
