# time,ambient,T0,T1,T2,T3
# mcp9800 Config reg OK
333,72,350,71,72,93
335,72,350,71,72,93
336,72,350,71,72,93
337,72,350,71,72,93
338,72,350,71,72,93
340,72,350,71,72,93
341,72,350,71,72,93
342,72,350,71,72,93
343,72,350,71,72,93
345,72,350,71,72,94
346,72,350,71,72,94
347,72,350,71,72,93
348,72,350,71,72,94
349,72,350,71,72,94
351,72,350,71,72,93
352,72,350,71,72,91
353,72,350,71,72,90
354,72,350,71,72,88
356,72,350,71,72,87
357,72,350,71,72,86
358,72,350,71,72,86
359,72,350,71,72,85
360,72,350,71,72,84
362,72,350,71,72,83
363,72,350,71,72,83
364,72,250,71,72,82
365,72,250,71,72,82
367,72,250,71,72,81
368,72,250,71,72,81
369,72,250,71,72,81
370,72,250,71,72,80
372,72,250,71,72,80
373,72,250,71,72,79
374,72,250,71,72,79
375,72,250,71,72,79
376,72,250,71,72,79
378,72,250,71,72,78
379,72,250,71,72,78
380,72,250,71,72,78
381,72,250,71,72,78
383,72,250,71,72,77
384,72,250,71,72,77
385,72,250,71,72,77
386,72,250,71,72,77
388,72,250,71,72,77
389,72,250,71,72,76
390,72,250,71,72,76
391,72,250,71,72,76
392,72,250,71,72,76
394,72,250,71,72,76
395,72,250,71,72,76
396,72,250,71,72,76
397,72,250,71,72,75
399,72,250,71,72,75
400,72,250,71,72,75
401,72,250,71,72,75
402,72,250,71,72,75
404,72,250,71,72,75
405,72,250,72,72,75
406,72,250,72,72,75
407,72,250,71,72,75
408,72,250,71,86,75
410,72,250,71,89,75
411,72,250,71,90,75
412,72,250,71,91,75
413,72,250,71,92,75
415,72,250,71,92,74
416,72,250,71,92,74
417,72,250,71,93,74
418,72,250,71,93,74
419,72,250,71,93,74
421,72,250,71,93,74
422,72,250,71,93,74
423,72,250,71,93,74
424,72,250,71,94,74
426,72,250,71,94,74
427,72,250,72,94,74
428,72,250,72,94,74
429,72,250,72,94,74
431,72,250,72,94,74
432,72,250,72,93,74
433,72,250,72,91,74
434,72,250,72,89,74
435,72,250,72,88,74
437,72,250,71,87,74
438,72,250,71,86,73
439,72,250,71,85,73
440,72,250,71,84,73
442,72,250,71,83,73
443,72,250,71,82,73
444,72,250,71,82,73
445,72,250,71,81,73
447,72,250,71,81,73
448,72,249,71,80,73
449,72,250,71,79,73
450,72,250,71,79,73
451,72,250,71,79,73
453,72,249,71,78,73
454,72,250,71,78,73
455,72,249,71,77,73
456,72,249,71,77,73
458,72,249,71,77,73
459,72,250,71,76,73
460,72,250,71,76,73
461,72,250,71,76,73
462,72,250,71,76,73
464,72,250,71,75,73
465,72,250,71,75,73
466,72,250,71,75,73
467,72,250,71,75,73
469,72,150,71,75,73
470,72,150,72,75,73
471,72,150,71,75,73
472,72,150,71,75,73
474,72,150,71,74,73
475,72,150,71,74,73
476,72,150,71,74,73
477,72,150,71,74,73
478,72,150,71,74,73
480,72,150,71,74,73
481,72,150,71,74,73
482,72,150,71,73,73
483,72,149,71,73,73
485,72,149,71,73,73
486,72,150,71,73,73
487,72,150,71,73,73
488,72,150,71,73,73
490,72,150,71,73,73
491,72,
